ID;PARENTID;TEXT;LINKTOPICTURE
231;227;Opaski sportowe;https://www.komputronik.pl/category/14231/opaski-sportowe-pulsometry.html;null
232;227;Paski do zegarków;https://www.komputronik.pl/category/18500/paski-do-zegarkow.html;null
233;227;Akcesoria do zegarków sportowych;https://www.komputronik.pl/category/14229/akcesoria-do-zegarkow-sportowych.html;null
234;null;Telewizory i RTV;https://www.komputronik.pl/category/5806/sprzet-rtv.html;/images/categories/telewizoryIrtv.jpg
235;234;Telewizory;https://www.komputronik.pl/category/5431/telewizory.html;null
236;235;Wszystkie telewizory;https://www.komputronik.pl/category/5431/telewizory.html;null
237;235;Telewizory Full HD;https://www.komputronik.pl/search-filter/5431/telewizor-full-hd;null
238;235;Telewizory 4K Ultra HD;https://www.komputronik.pl/search-filter/5431/telewizor-4k-uhd;null
239;235;Telewizory zakrzywione;https://www.komputronik.pl/search-filter/5431/telewizory-z-zakrzywionym-ekranem;null
240;235;Telewizory z Ambilight;https://www.komputronik.pl/category/5431/telewizory.html;null?a%5B113931%5D%5B%5D=1&prod%5B%5D=138&filter=1#!#products-list;null
241;234;Projektory i ekrany;https://www.komputronik.pl/category/1420/projektory-i-ekrany.html;null
242;241;Projektory;https://www.komputronik.pl/category/11560/projektory.html;null
243;241;Ekrany do projektorów;https://www.komputronik.pl/category/1464/ekrany-do-projektorow.html;null
244;241;Uchwyty do projektorów;https://www.komputronik.pl/category/4853/uchwyty-do-projektorow.html;null
245;241;Tablice interaktywne;https://www.komputronik.pl/category/16893/tablice-interaktywne.html;null
246;241;Akcesoria do projektorów;https://www.komputronik.pl/category/1488/akcesoria-do-projektorow.html;null
247;234;Tunery | dekodery;https://www.komputronik.pl/category/5500/tunery-dekodery-anteny.html;null
248;247;Tunery DVB-T (Telewizja naziemna);https://www.komputronik.pl/category/6246/tunery-dvb-t.html;null
249;247;Tunery DVB-S (Telewizja satelitarna);https://www.komputronik.pl/category/6256/tunery-satelitarne-dvb-s.html;null
250;247;Tunery DVB-C (Telewizja kablowa);https://www.komputronik.pl/category/12754/tunery-dvb-c.html;null
251;247;Tunery TV USB;https://www.komputronik.pl/category/1222/tunery-telewizyjne-pc.html;null
252;234;Kino domowe;https://www.komputronik.pl/category/1385/kino-domowe.html;null
253;252;Zestawy kina domowego;https://www.komputronik.pl/category/15567/zestawy-kina-domowego.html;null
254;252;Amplitunery;https://www.komputronik.pl/category/15569/amplitunery.html;null
255;252;Wzmacniacze audio;https://www.komputronik.pl/category/15580/wzmacniacze-audio.html;null
256;252;Głośniki soundbar;https://www.komputronik.pl/category/15572/soundbary.html;null
257;252;Kolumny;https://www.komputronik.pl/category/1414/kolumny.html;null
258;252;Subwoofery;https://www.komputronik.pl/category/15576/subwoofery.html;null
259;234;Odtwarzacze video;https://www.komputronik.pl/category/7730/odtwarzacze-video.html;null
260;259;Odtwarzacze DVD;https://www.komputronik.pl/category/1390/odtwarzacze-dvd.html;null
261;259;Odtwarzacze Blu-Ray;https://www.komputronik.pl/category/1404/odtwarzacze-blu-ray.html;null
262;259;Odtwarzacze przenośne;https://www.komputronik.pl/category/1400/odtwarzacze-przenosne.html;null
263;259;Odtwarzacze multimedialne;https://www.komputronik.pl/category/7733/odtwarzacze-multimedialne.html;null
264;234;Sprzęt audio;https://www.komputronik.pl/category/9039/sprzet-audio.html;null
265;264;Amplitunery;https://www.komputronik.pl/category/15569/amplitunery.html;null
266;264;Głośniki bezprzewodowe domowe;https://www.komputronik.pl/category/14235/glosniki-bezprzewodowe-domowe.html;null
267;264;Głośniki przenośne;https://www.komputronik.pl/category/6590/glosniki-przenosne.html;null
268;264;Głośniki soundbar;https://www.komputronik.pl/category/15572/soundbary.html;null
269;264;Gramofony;https://www.komputronik.pl/category/15579/gramofony.html;null
270;264;Kolumny;https://www.komputronik.pl/category/1414/kolumny.html;null
271;264;Mikrofony;https://www.komputronik.pl/category/8083/mikrofony.html;null
272;264;Mikro i Mini Wieże;https://www.komputronik.pl/category/7366/mini-wieze-audio.html;null
273;264;Przetworniki DAC;https://www.komputronik.pl/category/7253/przetworniki-dac.html;null
274;264;Radiobudziki;https://www.komputronik.pl/category/12440/radiobudziki.html;null
275;264;Radia kuchenne;https://www.komputronik.pl/category/18560/radia-kuchenne.html;null
276;264;Radioodtwarzacze;https://www.komputronik.pl/category/5288/radioodtwarzacze.html;null
277;264;Subwoofery;https://www.komputronik.pl/category/15576/subwoofery.html;null
278;264;Słuchawki;https://www.komputronik.pl/category/8077/sluchawki.html;null
